Name,wRCplus2022,TTO2022,wRCplus2021,TTO2021,wRCplusdiff,TTOdiff
Teoscar Hernandez,129,39.40%,132,36.30%,-3,3.10%
Tim Anderson,110,21.40%,119,28.70%,-9,-7.30%
Tommy Edman,108,27.00%,90,20.80%,18,6.20%
Tommy Pham,89,38.60%,102,39.40%,-13,-0.80%
Tony Kemp,91,21.70%,129,28.00%,-38,-6.30%
Trea Turner,128,27.80%,142,27.70%,-14,0.10%
Trent Grisham,83,42.70%,103,35.70%,-20,7.00%
Trevor Story,100,42.90%,98,36.30%,2,6.60%
Trey Mancini,104,35.10%,105,34.90%,-1,0.20%
Tucker Barnhart,63,32.50%,80,35.10%,-17,-2.60%
Ty France,126,24.30%,130,26.20%,-4,-1.90%
Tyler Naquin,93,36.80%,109,35.20%,-16,1.60%
Tyler O'Neill,101,40.50%,144,44.70%,-43,-4.20%
Victor Caratini,84,34.10%,73,34.80%,11,-0.70%
Victor Robles,64,31.20%,68,32.50%,-4,-1.30%
Vladimir Guerrero Jr.,132,29.20%,166,35.00%,-34,-5.80%
Wander Franco,116,18.90%,126,22.10%,-10,-3.20%
Whit Merrifield,88,24.40%,90,21.30%,-2,3.10%
Will Smith,127,30.40%,130,36.70%,-3,-6.30%
Willi Castro,86,26.80%,71,31.30%,15,-4.50%
Willson Contreras,132,34.90%,111,43.70%,21,-8.80%
Willy Adames,109,39.90%,120,42.90%,-11,-3.00%
Wilmer Flores,103,30.10%,112,26.40%,-9,3.70%
Xander Bogaerts,134,30.10%,130,32.80%,4,-2.70%
Yandy Diaz,146,26.30%,111,30.90%,35,-4.60%
Yasmani Grandal,68,34.30%,158,51.20%,-90,-16.90%
Yoan Moncada,76,36.50%,120,41.40%,-44,-4.90%
Yonathan Daza,93,21.10%,74,25.10%,19,-4.00%
Yordan Alvarez,185,39.40%,137,38.10%,48,1.30%
Yuli Gurriel,85,19.00%,132,23.50%,-47,-4.50%
